Country,Year,Metric,Classification,Value
Czechia,2023,Population,Total,10827529
Czechia,2024,Population,Total,10900555
Germany,2013,Population,Total,80523746
Germany,2014,Population,Total,80767463
Germany,2015,Population,Total,81197537
Germany,2016,Population,Total,82175684
Germany,2017,Population,Total,82521653
Germany,2018,Population,Total,82792351
Germany,2019,Population,Total,83019213
Germany,2020,Population,Total,83166711
Germany,2021,Population,Total,83155031
Germany,2022,Population,Total,83237124
Germany,2023,Population,Total,84358845
Germany,2024,Population,Total,83445000
Denmark,2013,Population,Total,5602628
Denmark,2014,Population,Total,5627235
Denmark,2015,Population,Total,5659715
Denmark,2016,Population,Total,5707251
Denmark,2017,Population,Total,5748769
Denmark,2018,Population,Total,5781190
Denmark,2019,Population,Total,5806081
Denmark,2020,Population,Total,5822763
Denmark,2021,Population,Total,5840045
Denmark,2022,Population,Total,5873420
Denmark,2023,Population,Total,5932654
Denmark,2024,Population,Total,5961249
Estonia,2013,Population,Total,1320174
Estonia,2014,Population,Total,1315819
Estonia,2015,Population,Total,1314870
Estonia,2016,Population,Total,1315944
Estonia,2017,Population,Total,1315635
Estonia,2018,Population,Total,1319133
Estonia,2019,Population,Total,1324820
Estonia,2020,Population,Total,1328976
Estonia,2021,Population,Total,1330068
Estonia,2022,Population,Total,1331796
Estonia,2023,Population,Total,1365884
Estonia,2024,Population,Total,1374687
Greece,2013,Population,Total,11003615
Greece,2014,Population,Total,10926807
Greece,2015,Population,Total,10858018
Greece,2016,Population,Total,10783748
Greece,2017,Population,Total,10768193
Greece,2018,Population,Total,10741165
Greece,2019,Population,Total,10724599
Greece,2020,Population,Total,10718565
Greece,2021,Population,Total,10678632
Greece,2022,Population,Total,10459782
Greece,2023,Population,Total,10413982
Greece,2024,Population,Total,10397193
Spain,2013,Population,Total,46712650
Spain,2014,Population,Total,46495744
Spain,2015,Population,Total,46425722
Spain,2016,Population,Total,46418884
Spain,2017,Population,Total,46497393
Spain,2018,Population,Total,46645070
Spain,2019,Population,Total,46918951
Spain,2020,Population,Total,47318050
Spain,2021,Population,Total,47400798
Spain,2022,Population,Total,47486843
Spain,2023,Population,Total,48085361
Spain,2024,Population,Total,48610458
Finland,2013,Population,Total,5426674
Finland,2014,Population,Total,5451270
Finland,2015,Population,Total,5471753
Finland,2016,Population,Total,5487308
Finland,2017,Population,Total,5503297
Finland,2018,Population,Total,5513130
Finland,2019,Population,Total,5517919
Finland,2020,Population,Total,5525292
Finland,2021,Population,Total,5533793
Finland,2022,Population,Total,5548241
Finland,2023,Population,Total,5563970
Finland,2024,Population,Total,5603851
France,2013,Population,Total,65600350
France,2014,Population,Total,66165980
France,2015,Population,Total,66458153
France,2016,Population,Total,66638391
France,2017,Population,Total,66809816
France,2018,Population,Total,67026224
France,2019,Population,Total,67290471
France,2020,Population,Total,67473651
France,2021,Population,Total,67728568
France,2022,Population,Total,67957053
France,2023,Population,Total,68172977
France,2024,Population,Total,68401997
Georgia,2014,Population,Total,4490498
Georgia,2015,Population,Total,3729500
Georgia,2016,Population,Total,3720400
Georgia,2017,Population,Total,3718200
Georgia,2018,Population,Total,3729633
Georgia,2019,Population,Total,3723464
Georgia,2020,Population,Total,3716858
Georgia,2021,Population,Total,3728573
Georgia,2022,Population,Total,3688647
Georgia,2023,Population,Total,3736357
Croatia,2013,Population,Total,4247803
Croatia,2014,Population,Total,4217632
Croatia,2015,Population,Total,4180915
Croatia,2016,Population,Total,4131115
Croatia,2017,Population,Total,4078769
Croatia,2018,Population,Total,4014341
Croatia,2019,Population,Total,3968676
Croatia,2020,Population,Total,3933511
Croatia,2021,Population,Total,3893026
Croatia,2022,Population,Total,3862305
Croatia,2023,Population,Total,3850894
Croatia,2024,Population,Total,3861967
Hungary,2013,Population,Total,9895250
Hungary,2014,Population,Total,9850217
Hungary,2015,Population,Total,9815858
Hungary,2016,Population,Total,9779652
Hungary,2017,Population,Total,9739857
Hungary,2018,Population,Total,9713655
Hungary,2019,Population,Total,9700272
Hungary,2020,Population,Total,9689376
Hungary,2021,Population,Total,9651461
Hungary,2022,Population,Total,9610403
Hungary,2023,Population,Total,9599744
Hungary,2024,Population,Total,9584627
Ireland,2013,Population,Total,4609779
Ireland,2014,Population,Total,4637852
Ireland,2015,Population,Total,4677627
Ireland,2016,Population,Total,4726286
Ireland,2017,Population,Total,4799157
Ireland,2018,Population,Total,4855733
Ireland,2019,Population,Total,4940311
Ireland,2020,Population,Total,5012600
Ireland,2021,Population,Total,5066893
Ireland,2022,Population,Total,5154277
Ireland,2023,Population,Total,5271395
Ireland,2024,Population,Total,5343805
Iceland,2013,Population,Total,321857
Iceland,2014,Population,Total,325671
Iceland,2015,Population,Total,329100
Iceland,2016,Population,Total,332529
Iceland,2017,Population,Total,338349
Iceland,2018,Population,Total,348450
Iceland,2019,Population,Total,356991
Iceland,2020,Population,Total,364134
Iceland,2021,Population,Total,368792
Iceland,2022,Population,Total,376248
Iceland,2023,Population,Total,387758
Iceland,2024,Population,Total,398940
Italy,2013,Population,Total,60277309
Italy,2014,Population,Total,60345917
Italy,2015,Population,Total,60295497
Italy,2016,Population,Total,60163712
Italy,2017,Population,Total,60066734
Italy,2018,Population,Total,59937769
Italy,2019,Population,Total,59816673
Italy,2020,Population,Total,59641488
Italy,2021,Population,Total,59236213
Italy,2022,Population,Total,59030133
Italy,2023,Population,Total,58997201
Italy,2024,Population,Total,58989749
Liechtenstein,2013,Population,Total,36838
Liechtenstein,2014,Population,Total,37129
Liechtenstein,2015,Population,Total,37366
Liechtenstein,2016,Population,Total,37622
Liechtenstein,2017,Population,Total,37810
Liechtenstein,2018,Population,Total,38114
Liechtenstein,2019,Population,Total,38378
Liechtenstein,2020,Population,Total,38747
Liechtenstein,2021,Population,Total,39055
Liechtenstein,2022,Population,Total,39308
Liechtenstein,2023,Population,Total,39677
Liechtenstein,2024,Population,Total,40023
Lithuania,2013,Population,Total,2974637
Lithuania,2014,Population,Total,2947862
Lithuania,2015,Population,Total,2926644
Lithuania,2016,Population,Total,2895573
Lithuania,2017,Population,Total,2859077
Lithuania,2018,Population,Total,2826200
Lithuania,2019,Population,Total,2812200
Lithuania,2020,Population,Total,2809977
Lithuania,2021,Population,Total,2810761
Lithuania,2022,Population,Total,2805998
Lithuania,2023,Population,Total,2857279
Lithuania,2024,Population,Total,2885891
Luxembourg,2013,Population,Total,537039
Luxembourg,2014,Population,Total,549680
Luxembourg,2015,Population,Total,562958
Luxembourg,2016,Population,Total,576249
Luxembourg,2017,Population,Total,590667
Luxembourg,2018,Population,Total,602005
Luxembourg,2019,Population,Total,613894
Luxembourg,2020,Population,Total,626108
Luxembourg,2021,Population,Total,634730
Luxembourg,2022,Population,Total,645397
Luxembourg,2023,Population,Total,660809
Luxembourg,2024,Population,Total,672050
Latvia,2013,Population,Total,2023825
Latvia,2014,Population,Total,2001468
Latvia,2015,Population,Total,1986096
Latvia,2016,Population,Total,1968957
Latvia,2017,Population,Total,1950116
Latvia,2018,Population,Total,1934379
Latvia,2019,Population,Total,1919968
Latvia,2020,Population,Total,1907675
Latvia,2021,Population,Total,1893223
Latvia,2022,Population,Total,1875757
Latvia,2023,Population,Total,1883008
Latvia,2024,Population,Total,1871882
Moldova,2013,Population,Total,3559497
Moldova,2014,Population,Total,3557634
Moldova,2015,Population,Total,3555159
Moldova,2016,Population,Total,2846327
Moldova,2017,Population,Total,2825628
Moldova,2018,Population,Total,2780744
Moldova,2019,Population,Total,2729634
Moldova,2020,Population,Total,2684772
Moldova,2021,Population,Total,2643675
Moldova,2022,Population,Total,2565030
Moldova,2023,Population,Total,2512758
Moldova,2024,Population,Total,2423287
Montenegro,2013,Population,Total,620893
Montenegro,2014,Population,Total,621521
Montenegro,2015,Population,Total,622099
Montenegro,2016,Population,Total,622218
Montenegro,2017,Population,Total,622387
Montenegro,2018,Population,Total,622359
Montenegro,2019,Population,Total,622182
Montenegro,2020,Population,Total,621873
Montenegro,2021,Population,Total,620739
Montenegro,2022,Population,Total,617683
Montenegro,2023,Population,Total,616695
North Macedonia,2013,Population,Total,2062294
North Macedonia,2014,Population,Total,2065769
North Macedonia,2015,Population,Total,2069172
North Macedonia,2016,Population,Total,2071278
North Macedonia,2017,Population,Total,2073702
North Macedonia,2018,Population,Total,2075301
North Macedonia,2019,Population,Total,2077132
North Macedonia,2020,Population,Total,2076255
North Macedonia,2021,Population,Total,2068808
North Macedonia,2022,Population,Total,1837114
North Macedonia,2023,Population,Total,1829954
North Macedonia,2024,Population,Total,1826247
Malta,2013,Population,Total,421464
Malta,2014,Population,Total,428156
Malta,2015,Population,Total,438805
Malta,2016,Population,Total,449635
Malta,2017,Population,Total,459375
Malta,2018,Population,Total,474837
Malta,2019,Population,Total,492968
Malta,2020,Population,Total,514855
Malta,2021,Population,Total,516125
Malta,2022,Population,Total,520174
Malta,2023,Population,Total,542051
Malta,2024,Population,Total,563443
Netherlands,2013,Population,Total,16779575
Netherlands,2014,Population,Total,16829289
Netherlands,2015,Population,Total,16900726
Netherlands,2016,Population,Total,16979120
Netherlands,2017,Population,Total,17081507
Netherlands,2018,Population,Total,17181084
Netherlands,2019,Population,Total,17282163
Netherlands,2020,Population,Total,17407585
Netherlands,2021,Population,Total,17475415
Netherlands,2022,Population,Total,17590672
Netherlands,2023,Population,Total,17811291
Netherlands,2024,Population,Total,17942942
Norway,2013,Population,Total,5051275
Norway,2014,Population,Total,5109056
Norway,2015,Population,Total,5165802
Norway,2016,Population,Total,5213985
Norway,2017,Population,Total,5258317
Norway,2018,Population,Total,5295619
Norway,2019,Population,Total,5328212
Norway,2020,Population,Total,5367580
Norway,2021,Population,Total,5391369
Norway,2022,Population,Total,5425270
Norway,2023,Population,Total,5488984
Norway,2024,Population,Total,5550203
Poland,2013,Population,Total,38062535
Poland,2014,Population,Total,38017856
Poland,2015,Population,Total,38005614
Poland,2016,Population,Total,37967209
Poland,2017,Population,Total,37972964
Poland,2018,Population,Total,37976687
Poland,2019,Population,Total,37972812
Poland,2020,Population,Total,37958138
Poland,2021,Population,Total,37073357
Poland,2022,Population,Total,36889761
Poland,2023,Population,Total,36753736
Poland,2024,Population,Total,36620970
Portugal,2013,Population,Total,10503889
Portugal,2014,Population,Total,10444092
Portugal,2015,Population,Total,10395121
Portugal,2016,Population,Total,10368554
Portugal,2017,Population,Total,10344478
Portugal,2018,Population,Total,10335770
Portugal,2019,Population,Total,10333496
Portugal,2020,Population,Total,10375395
Portugal,2021,Population,Total,10394297
Portugal,2022,Population,Total,10421117
Portugal,2023,Population,Total,10516621
Portugal,2024,Population,Total,10639726
Romania,2013,Population,Total,20020074
Romania,2014,Population,Total,19947311
Romania,2015,Population,Total,19870647
Romania,2016,Population,Total,19760585
Romania,2017,Population,Total,19643949
Romania,2018,Population,Total,19533481
Romania,2019,Population,Total,19414458
Romania,2020,Population,Total,19328838
Romania,2021,Population,Total,19201662
Romania,2022,Population,Total,19042455
Romania,2023,Population,Total,19054548
Romania,2024,Population,Total,19064409
Serbia,2013,Population,Total,7181505
Serbia,2014,Population,Total,7146759
Serbia,2015,Population,Total,7114393
Serbia,2016,Population,Total,7076372
Serbia,2017,Population,Total,7040272
Serbia,2018,Population,Total,7001444
Serbia,2019,Population,Total,6963764
Serbia,2020,Population,Total,6926705
Serbia,2021,Population,Total,6871547
Serbia,2022,Population,Total,6797105
Serbia,2023,Population,Total,6641197
Serbia,2024,Population,Total,6605168
Sweden,2013,Population,Total,9555893
Sweden,2014,Population,Total,9644864
Sweden,2015,Population,Total,9747355
Sweden,2016,Population,Total,9851017
Sweden,2017,Population,Total,9995153
Sweden,2018,Population,Total,10120242
Sweden,2019,Population,Total,10230185
Sweden,2020,Population,Total,10327589
Sweden,2021,Population,Total,10379295
Sweden,2022,Population,Total,10452326
Sweden,2023,Population,Total,10521556
Sweden,2024,Population,Total,10551707
Slovenia,2013,Population,Total,2058821
Slovenia,2014,Population,Total,2061085
Slovenia,2015,Population,Total,2062874
Slovenia,2016,Population,Total,2064188
Slovenia,2017,Population,Total,2065895
Slovenia,2018,Population,Total,2066880
Slovenia,2019,Population,Total,2080908
Slovenia,2020,Population,Total,2095861
Slovenia,2021,Population,Total,2108977
Slovenia,2022,Population,Total,2107180
Slovenia,2023,Population,Total,2116972
Slovenia,2024,Population,Total,2123949
Slovakia,2013,Population,Total,5410836
Slovakia,2014,Population,Total,5415949
Slovakia,2015,Population,Total,5421349
Slovakia,2016,Population,Total,5426252
Slovakia,2017,Population,Total,5435343
Slovakia,2018,Population,Total,5443120
Slovakia,2019,Population,Total,5450421
Slovakia,2020,Population,Total,5457873
Slovakia,2021,Population,Total,5459781
Slovakia,2022,Population,Total,5434712
Slovakia,2023,Population,Total,5428792
Slovakia,2024,Population,Total,5424687
Andorra,2013,Proportion_of_Population_By_Age_Group,0-14,15.5
Andorra,2019,Proportion_of_Population_By_Age_Group,0-14,13.9
Albania,2013,Proportion_of_Population_By_Age_Group,0-14,20.1
Albania,2014,Proportion_of_Population_By_Age_Group,0-14,19.6
Albania,2015,Proportion_of_Population_By_Age_Group,0-14,19.0
Albania,2016,Proportion_of_Population_By_Age_Group,0-14,18.5
Albania,2017,Proportion_of_Population_By_Age_Group,0-14,18.2
Albania,2018,Proportion_of_Population_By_Age_Group,0-14,17.7
Albania,2019,Proportion_of_Population_By_Age_Group,0-14,17.2
Albania,2020,Proportion_of_Population_By_Age_Group,0-14,16.8
Albania,2021,Proportion_of_Population_By_Age_Group,0-14,16.5
Albania,2022,Proportion_of_Population_By_Age_Group,0-14,16.3
Albania,2023,Proportion_of_Population_By_Age_Group,0-14,16.0
Armenia,2015,Proportion_of_Population_By_Age_Group,0-14,19.4
Armenia,2016,Proportion_of_Population_By_Age_Group,0-14,19.6
Armenia,2017,Proportion_of_Population_By_Age_Group,0-14,20.0
Armenia,2018,Proportion_of_Population_By_Age_Group,0-14,20.2
Armenia,2019,Proportion_of_Population_By_Age_Group,0-14,20.2
Armenia,2020,Proportion_of_Population_By_Age_Group,0-14,20.3
Armenia,2021,Proportion_of_Population_By_Age_Group,0-14,20.2
Armenia,2024,Proportion_of_Population_By_Age_Group,0-14,19.0
Austria,2013,Proportion_of_Population_By_Age_Group,0-14,14.4
Austria,2014,Proportion_of_Population_By_Age_Group,0-14,14.3
Austria,2015,Proportion_of_Population_By_Age_Group,0-14,14.3
Austria,2016,Proportion_of_Population_By_Age_Group,0-14,14.3
Austria,2017,Proportion_of_Population_By_Age_Group,0-14,14.4
Austria,2018,Proportion_of_Population_By_Age_Group,0-14,14.4
Austria,2019,Proportion_of_Population_By_Age_Group,0-14,14.4
Austria,2020,Proportion_of_Population_By_Age_Group,0-14,14.4
Austria,2021,Proportion_of_Population_By_Age_Group,0-14,14.4
Austria,2022,Proportion_of_Population_By_Age_Group,0-14,14.4
Austria,2023,Proportion_of_Population_By_Age_Group,0-14,14.4
Austria,2024,Proportion_of_Population_By_Age_Group,0-14,14.4
Azerbaijan,2013,Proportion_of_Population_By_Age_Group,0-14,22.3
Azerbaijan,2014,Proportion_of_Population_By_Age_Group,0-14,22.4
Azerbaijan,2015,Proportion_of_Population_By_Age_Group,0-14,22.4
Azerbaijan,2016,Proportion_of_Population_By_Age_Group,0-14,22.5
Azerbaijan,2017,Proportion_of_Population_By_Age_Group,0-14,22.6
Azerbaijan,2018,Proportion_of_Population_By_Age_Group,0-14,22.6
Azerbaijan,2019,Proportion_of_Population_By_Age_Group,0-14,22.4
Azerbaijan,2020,Proportion_of_Population_By_Age_Group,0-14,22.4
Azerbaijan,2021,Proportion_of_Population_By_Age_Group,0-14,22.3
Azerbaijan,2022,Proportion_of_Population_By_Age_Group,0-14,22.2
Azerbaijan,2023,Proportion_of_Population_By_Age_Group,0-14,21.9
Azerbaijan,2024,Proportion_of_Population_By_Age_Group,0-14,21.2
Belgium,2013,Proportion_of_Population_By_Age_Group,0-14,17.0
Belgium,2014,Proportion_of_Population_By_Age_Group,0-14,17.0
Belgium,2015,Proportion_of_Population_By_Age_Group,0-14,17.0
Belgium,2016,Proportion_of_Population_By_Age_Group,0-14,17.0
Belgium,2017,Proportion_of_Population_By_Age_Group,0-14,17.0
Belgium,2018,Proportion_of_Population_By_Age_Group,0-14,17.0
Belgium,2019,Proportion_of_Population_By_Age_Group,0-14,16.9
Belgium,2020,Proportion_of_Population_By_Age_Group,0-14,16.9
Belgium,2021,Proportion_of_Population_By_Age_Group,0-14,16.8
Belgium,2022,Proportion_of_Population_By_Age_Group,0-14,16.6
Belgium,2023,Proportion_of_Population_By_Age_Group,0-14,16.5
Belgium,2024,Proportion_of_Population_By_Age_Group,0-14,16.3
Bulgaria,2013,Proportion_of_Population_By_Age_Group,0-14,13.8
Bulgaria,2014,Proportion_of_Population_By_Age_Group,0-14,13.9
Bulgaria,2015,Proportion_of_Population_By_Age_Group,0-14,13.9
Bulgaria,2016,Proportion_of_Population_By_Age_Group,0-14,13.9
Bulgaria,2017,Proportion_of_Population_By_Age_Group,0-14,13.9
Bulgaria,2018,Proportion_of_Population_By_Age_Group,0-14,14.0
Bulgaria,2019,Proportion_of_Population_By_Age_Group,0-14,14.0
Bulgaria,2020,Proportion_of_Population_By_Age_Group,0-14,14.0
Bulgaria,2021,Proportion_of_Population_By_Age_Group,0-14,14.1
Bulgaria,2022,Proportion_of_Population_By_Age_Group,0-14,14.1
Bulgaria,2023,Proportion_of_Population_By_Age_Group,0-14,14.2
Bulgaria,2024,Proportion_of_Population_By_Age_Group,0-14,14.1
Belarus,2013,Proportion_of_Population_By_Age_Group,0-14,15.4
Belarus,2014,Proportion_of_Population_By_Age_Group,0-14,15.7
Belarus,2015,Proportion_of_Population_By_Age_Group,0-14,16.0
Belarus,2016,Proportion_of_Population_By_Age_Group,0-14,16.3
Belarus,2017,Proportion_of_Population_By_Age_Group,0-14,16.6
Belarus,2018,Proportion_of_Population_By_Age_Group,0-14,16.8
Belarus,2019,Proportion_of_Population_By_Age_Group,0-14,16.9
Switzerland,2013,Proportion_of_Population_By_Age_Group,0-14,14.9
Switzerland,2014,Proportion_of_Population_By_Age_Group,0-14,14.9
Switzerland,2015,Proportion_of_Population_By_Age_Group,0-14,14.9
Switzerland,2016,Proportion_of_Population_By_Age_Group,0-14,14.9
Switzerland,2017,Proportion_of_Population_By_Age_Group,0-14,14.9
Switzerland,2018,Proportion_of_Population_By_Age_Group,0-14,15.0
Switzerland,2019,Proportion_of_Population_By_Age_Group,0-14,15.0
Switzerland,2020,Proportion_of_Population_By_Age_Group,0-14,15.0
Switzerland,2021,Proportion_of_Population_By_Age_Group,0-14,15.1
Switzerland,2022,Proportion_of_Population_By_Age_Group,0-14,15.1
Switzerland,2023,Proportion_of_Population_By_Age_Group,0-14,15.1
Switzerland,2024,Proportion_of_Population_By_Age_Group,0-14,15.0
Cyprus,2013,Proportion_of_Population_By_Age_Group,0-14,16.4
Cyprus,2014,Proportion_of_Population_By_Age_Group,0-14,16.3
Cyprus,2015,Proportion_of_Population_By_Age_Group,0-14,16.4
Cyprus,2016,Proportion_of_Population_By_Age_Group,0-14,16.4
Cyprus,2017,Proportion_of_Population_By_Age_Group,0-14,16.3
Cyprus,2018,Proportion_of_Population_By_Age_Group,0-14,16.2
Cyprus,2019,Proportion_of_Population_By_Age_Group,0-14,16.1
Cyprus,2020,Proportion_of_Population_By_Age_Group,0-14,16.0
Cyprus,2021,Proportion_of_Population_By_Age_Group,0-14,16.0
Cyprus,2022,Proportion_of_Population_By_Age_Group,0-14,16.1
Cyprus,2023,Proportion_of_Population_By_Age_Group,0-14,15.4
Cyprus,2024,Proportion_of_Population_By_Age_Group,0-14,15.3
Czechia,2013,Proportion_of_Population_By_Age_Group,0-14,14.8
Czechia,2014,Proportion_of_Population_By_Age_Group,0-14,15.0
Czechia,2015,Proportion_of_Population_By_Age_Group,0-14,15.2
Czechia,2016,Proportion_of_Population_By_Age_Group,0-14,15.4
Czechia,2017,Proportion_of_Population_By_Age_Group,0-14,15.6
Czechia,2018,Proportion_of_Population_By_Age_Group,0-14,15.7
Czechia,2019,Proportion_of_Population_By_Age_Group,0-14,15.9
Czechia,2020,Proportion_of_Population_By_Age_Group,0-14,16.0
Czechia,2021,Proportion_of_Population_By_Age_Group,0-14,16.0
Czechia,2022,Proportion_of_Population_By_Age_Group,0-14,16.1
Czechia,2023,Proportion_of_Population_By_Age_Group,0-14,16.2
Czechia,2024,Proportion_of_Population_By_Age_Group,0-14,15.9
Germany,2013,Proportion_of_Population_By_Age_Group,0-14,13.3
Germany,2014,Proportion_of_Population_By_Age_Group,0-14,13.2
Germany,2015,Proportion_of_Population_By_Age_Group,0-14,13.2
Germany,2016,Proportion_of_Population_By_Age_Group,0-14,13.2
Germany,2017,Proportion_of_Population_By_Age_Group,0-14,13.4
Germany,2018,Proportion_of_Population_By_Age_Group,0-14,13.5
Germany,2019,Proportion_of_Population_By_Age_Group,0-14,13.6
Germany,2020,Proportion_of_Population_By_Age_Group,0-14,13.7
Germany,2021,Proportion_of_Population_By_Age_Group,0-14,13.8
Germany,2022,Proportion_of_Population_By_Age_Group,0-14,13.9
Germany,2023,Proportion_of_Population_By_Age_Group,0-14,14.0
Germany,2024,Proportion_of_Population_By_Age_Group,0-14,13.9
Denmark,2013,Proportion_of_Population_By_Age_Group,0-14,17.4
Denmark,2014,Proportion_of_Population_By_Age_Group,0-14,17.2
Denmark,2015,Proportion_of_Population_By_Age_Group,0-14,17.0
Denmark,2016,Proportion_of_Population_By_Age_Group,0-14,16.8
Denmark,2017,Proportion_of_Population_By_Age_Group,0-14,16.7
Denmark,2018,Proportion_of_Population_By_Age_Group,0-14,16.6
Denmark,2019,Proportion_of_Population_By_Age_Group,0-14,16.5
Denmark,2020,Proportion_of_Population_By_Age_Group,0-14,16.4
Denmark,2021,Proportion_of_Population_By_Age_Group,0-14,16.2
Denmark,2022,Proportion_of_Population_By_Age_Group,0-14,16.1
Denmark,2023,Proportion_of_Population_By_Age_Group,0-14,16.0
Denmark,2024,Proportion_of_Population_By_Age_Group,0-14,15.7
Estonia,2013,Proportion_of_Population_By_Age_Group,0-14,15.7
Estonia,2014,Proportion_of_Population_By_Age_Group,0-14,15.8
Estonia,2015,Proportion_of_Population_By_Age_Group,0-14,15.9
Estonia,2016,Proportion_of_Population_By_Age_Group,0-14,16.1
Estonia,2017,Proportion_of_Population_By_Age_Group,0-14,16.2
Estonia,2018,Proportion_of_Population_By_Age_Group,0-14,16.3
Estonia,2019,Proportion_of_Population_By_Age_Group,0-14,16.4
Estonia,2020,Proportion_of_Population_By_Age_Group,0-14,16.5
Estonia,2021,Proportion_of_Population_By_Age_Group,0-14,16.4
Estonia,2022,Proportion_of_Population_By_Age_Group,0-14,16.4
Estonia,2023,Proportion_of_Population_By_Age_Group,0-14,16.4
Estonia,2024,Proportion_of_Population_By_Age_Group,0-14,16.0
Greece,2013,Proportion_of_Population_By_Age_Group,0-14,14.7
Greece,2014,Proportion_of_Population_By_Age_Group,0-14,14.6
Greece,2015,Proportion_of_Population_By_Age_Group,0-14,14.5
Greece,2016,Proportion_of_Population_By_Age_Group,0-14,14.4
Greece,2017,Proportion_of_Population_By_Age_Group,0-14,14.4
Greece,2018,Proportion_of_Population_By_Age_Group,0-14,14.4
Greece,2019,Proportion_of_Population_By_Age_Group,0-14,14.3
Greece,2020,Proportion_of_Population_By_Age_Group,0-14,14.3
